Date : 2025-01-02 19:33:25
Directory : j:\razer-shop-page
Total : 101 files,  8934 codes, 12 comments, 514 blanks, all 9460 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      5,154 |          0 |          3 |      5,157 |
| JavaScript         |         39 |      1,867 |          7 |        182 |      2,056 |
| CSS                |         20 |      1,437 |          4 |        272 |      1,713 |
| XML                |         30 |        194 |          1 |         14 |        209 |
| Markdown           |          5 |        189 |          0 |         42 |        231 |
| CSV                |          2 |         86 |          0 |          0 |         86 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |        101 |      8,934 |         12 |        514 |      9,460 |
| . (Files)                                                                  |          6 |      5,199 |          1 |         22 |      5,222 |
| .VSCodeCounter                                                             |          7 |        251 |          0 |         26 |        277 |
| .VSCodeCounter\2024-11-29_20-17-34                                         |          7 |        251 |          0 |         26 |        277 |
| Constants                                                                  |          1 |         90 |          0 |         10 |        100 |
| Context                                                                    |          2 |        103 |          0 |         15 |        118 |
| Hooks                                                                      |          3 |        104 |          1 |         19 |        124 |
| components                                                                 |         35 |      2,583 |          6 |        325 |      2,914 |
| components\Module                                                          |         18 |      1,174 |          0 |        154 |      1,328 |
| components\Module\Cards                                                    |          2 |        198 |          0 |         28 |        226 |
| components\Module\Categorys                                                |          2 |         65 |          0 |         12 |         77 |
| components\Module\Login                                                    |          2 |        247 |          0 |         25 |        272 |
| components\Module\MultiPanel                                               |          2 |         94 |          0 |          8 |        102 |
| components\Module\Signin                                                   |          2 |        144 |          0 |         15 |        159 |
| components\Module\Slider                                                   |          2 |        103 |          0 |         18 |        121 |
| components\Module\Store                                                    |          2 |         37 |          0 |          9 |         46 |
| components\Module\TileSlider                                               |          2 |        156 |          0 |         22 |        178 |
| components\Module\Wrapper                                                  |          2 |        130 |          0 |         17 |        147 |
| components\Template                                                        |          4 |         91 |          0 |         15 |        106 |
| components\layout                                                          |          8 |      1,089 |          6 |        130 |      1,225 |
| components\loginLayout                                                     |          5 |        229 |          0 |         26 |        255 |
| helper                                                                     |          1 |         15 |          0 |          4 |         19 |
| lib                                                                        |          1 |         17 |          0 |          3 |         20 |
| pages                                                                      |          9 |        123 |          0 |         30 |        153 |
| pages (Files)                                                              |          3 |         26 |          0 |          5 |         31 |
| pages\api                                                                  |          2 |         47 |          0 |          8 |         55 |
| pages\dashboard                                                            |          1 |          5 |          0 |          3 |          8 |
| pages\login                                                                |          1 |         18 |          0 |          6 |         24 |
| pages\shop                                                                 |          1 |         21 |          0 |          5 |         26 |
| pages\signin                                                               |          1 |          6 |          0 |          3 |          9 |
| public                                                                     |         30 |        194 |          1 |         14 |        209 |
| public (Files)                                                             |          2 |          2 |          0 |          0 |          2 |
| public\Icons                                                               |         23 |        162 |          1 |          9 |        172 |
| public\Icons (Files)                                                       |         18 |        139 |          1 |          7 |        147 |
| public\Icons\cart                                                          |          5 |         23 |          0 |          2 |         25 |
| public\logos                                                               |          5 |         30 |          0 |          5 |         35 |
| services                                                                   |          2 |         26 |          0 |          8 |         34 |
| styles                                                                     |          4 |        229 |          3 |         38 |        270 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\details.md           | Markdown           |         91 |          0 |          6 |         97 |
| j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\diff-details.md      | Markdown           |          9 |          0 |          6 |         15 |
| j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\diff.csv             | CSV                |          2 |          0 |          0 |          2 |
| j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\diff.md              | Markdown           |         12 |          0 |          7 |         19 |
| j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\results.csv          | CSV                |         84 |          0 |          0 |         84 |
| j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\results.json         | JSON               |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\.VSCodeCounter\2024-11-29_20-17-34\results.md           | Markdown           |         52 |          0 |          7 |         59 |
| j:\razer-shop-page\.prettier.json                                          | JSON               |         21 |          0 |          1 |         22 |
| j:\razer-shop-page\Constants\Const.js                                      | JavaScript         |         90 |          0 |         10 |        100 |
| j:\razer-shop-page\Context\CartProvider.js                                 | JavaScript         |         98 |          0 |         12 |        110 |
| j:\razer-shop-page\Context\GlobalProvider.js                               | JavaScript         |          5 |          0 |          3 |          8 |
| j:\razer-shop-page\Hooks\useCarts.js                                       | JavaScript         |         53 |          0 |         11 |         64 |
| j:\razer-shop-page\Hooks\useRequest.js                                     | JavaScript         |         35 |          1 |          4 |         40 |
| j:\razer-shop-page\Hooks\useWindowsSize.js                                 | JavaScript         |         16 |          0 |          4 |         20 |
| j:\razer-shop-page\README.md                                               | Markdown           |         25 |          0 |         16 |         41 |
| j:\razer-shop-page\components\Module\Cards\Cards.js                        | JavaScript         |         66 |          0 |          7 |         73 |
| j:\razer-shop-page\components\Module\Cards\CardsStyle.module.css           | CSS                |        132 |          0 |         21 |        153 |
| j:\razer-shop-page\components\Module\Categorys\Categorys.js                | JavaScript         |         26 |          0 |          5 |         31 |
| j:\razer-shop-page\components\Module\Categorys\categoryStyle.module.css    | CSS                |         39 |          0 |          7 |         46 |
| j:\razer-shop-page\components\Module\Login\Logingin.js                     | JavaScript         |        142 |          0 |          8 |        150 |
| j:\razer-shop-page\components\Module\Login\login.module.css                | CSS                |        105 |          0 |         17 |        122 |
| j:\razer-shop-page\components\Module\MultiPanel\MultiPanel.js              | JavaScript         |         60 |          0 |          3 |         63 |
